Box2_B1	527297-10	Sham	Baseline
Box2_A7	527297-2	Sham	Baseline
Box4_B6	527297-2	Sham	24hPost-Stroke
Box3_B1	527297-2	Sham	3hPost-Reperfusion
Box2_B2	529723-30	Sham	Baseline
Box2_E6	529723-30	Sham	24hPost-Stroke
Box2_E5	529723-30	Sham	3hPost-Reperfusion
Box1_F2	529738-10	Stroke	24hPost-Stroke
Box1_F1	529738-10	Stroke	3hPost-Reperfusion
Box1_E7	529738-10	Stroke	Baseline
Box1_E4	529738-1	Stroke	24hPost-Stroke
Box1_E5	529738-1	Stroke	3hPost-Reperfusion
Box1_E6	529738-1	Stroke	Baseline
Box1_F5	529738-30	Stroke	24hPost-Stroke
Box1_F4	529738-30	Stroke	3hPost-Reperfusion
Box1_F3	529738-30	Stroke	Baseline
Box3_A5	546383-1	Anti-Ly6G	3hPost-Reperfusion
Box2_B3	546383-1	Anti-Ly6G	Baseline
Box3_A2	546383-2	Anti-Ly6G	24hPost-Stroke
Box3_A4	546383-2	Anti-Ly6G	3hPost-Reperfusion
Box2_B4	546383-2	Anti-Ly6G	Baseline
Box2_B5	546383-3	Anti-Ly6G	Baseline
Box2_G6	546384-10	Anti-Ly6G	24hPost-Stroke
Box3_A3	546384-10	Anti-Ly6G	3hPost-Reperfusion
Box2_C3	546384-10	Anti-Ly6G	Baseline
Box2_G7	546384-3	Anti-Ly6G	24hPost-Stroke
Box2_G4	546384-3	Anti-Ly6G	3hPost-Reperfusion
Box2_C2	546384-3	Anti-Ly6G	Baseline
Box2_B7	546385-10	Sham	Baseline
Box2_F5	546385-10	Sham	24hPost-Stroke
Box2_F2	546385-10	Sham	3hPost-Reperfusion
Box2_F1	546385-1	Sham	24hPost-Stroke
Box2_E7	546385-1	Sham	3hPost-Reperfusion
Box2_F3	546385-2	Anti-Ly6G	24hPost-Stroke
Box2_F4	546385-2	Anti-Ly6G	3hPost-Reperfusion
Box2_B6	546385-2	Anti-Ly6G	Baseline
Box2_C1	546385-30	Sham	Baseline
Box2_F6	546385-30	Sham	24hPost-Stroke
Box2_E3	546385-30	Sham	3hPost-Reperfusion
Box2_E4	546385-30	Sham	3hPost-Reperfusion_replicate
Box2_G3	546386-1	Anti-Ly6G	24hPost-Stroke
Box2_F7	546386-1	Anti-Ly6G	3hPost-Reperfusion
Box2_D7	546386-1	Anti-Ly6G	Baseline
Box2_G2	546386-2	Anti-Ly6G	24hPost-Stroke
Box2_G1	546386-2	Anti-Ly6G	3hPost-Reperfusion
Box2_E1	546386-2	Anti-Ly6G	Baseline
Box2_G5	546386-3	Anti-Ly6G	24hPost-Stroke
Box2_E2	546386-3	Anti-Ly6G	Baseline
Box2_D1	546392-10	Stroke	Baseline
Box3_F7	546392-10	Stroke	24hPost-Stroke
Box3_F5	546392-10	Stroke	3hPost-Reperfusion
Box2_C7	546392-2	Sham	Baseline
Box4_A1	546392-2	Sham	24hPost-Stroke
Box3_G6	546392-2	Sham	3hPost-Reperfusion
Box2_D2	546392-30	Stroke	Baseline
Box3_G1	546392-30	Stroke	24hPost-Stroke
Box3_F6	546392-30	Stroke	3hPost-Reperfusion
Box2_C6	546393-10	Stroke	Baseline
Box3_G5	546393-10	Stroke	24hPost-Stroke
Box3_G2	546393-10	Stroke	3hPost-Reperfusion
Box2_C4	546393-1	Stroke	Baseline
Box3_F4	546393-1	Stroke	24hPost-Stroke
Box3_F3	546393-1	Stroke	3hPost-Reperfusion
Box2_C5	546393-2	Sham	Baseline
Box4_A2	546393-2	Sham	24hPost-Stroke
Box3_G7	546393-2	Sham	3hPost-Reperfusion
Box2_D4	547054-10	Anti-Ly6G	Baseline
Box4_A5	547054-3	Anti-Ly6G	3hPost-Reperfusion
Box2_D3	547054-3	Anti-Ly6G	Baseline
Box4_C1	547056-1	Anti-Ly6G	24hPost-Stroke
Box4_A4	547056-1	Anti-Ly6G	3hPost-Reperfusion
Box2_D5	547056-1	Anti-Ly6G	Baseline
Box2_D6	547056-3	Stroke	Baseline
Box3_G4	547056-3	Stroke	24hPost-Stroke
Box3_G3	547056-3	Stroke	3hPost-Reperfusion
Box4_A3	547057-3	Anti-Ly6G	24hPost-Stroke
Box1_G4	562669-10	Stroke	24hPost-Stroke
Box1_G3	562669-10	Stroke	3hPost-Reperfusion
Box4_B5	562669-10	Stroke	3hPost-Reperfusion_replicate
Box1_G2	562669-10	Stroke	Baseline
Box1_G1	562669-1	Stroke	24hPost-Stroke
Box1_F7	562669-1	Stroke	3hPost-Reperfusion
Box1_F6	562669-1	Stroke	Baseline
Box1_D4	562669-20	Stroke	Baseline
Box2_A2	562669-2	Stroke	3hPost-Reperfusion
Box2_A1	562669-2	Stroke	Baseline
Box2_A6	562669-3	Stroke	24hPost-Stroke
Box2_A3	562669-3	Stroke	3hPost-Reperfusion
Box2_A5	562669-3	Stroke	3hPost-Reperfusion_replicate
Box2_A4	562669-3	Stroke	Baseline
Box1_E3	562670-10	Sham	24hPost-Stroke
Box1_E2	562670-10	Sham	3hPost-Reperfusion
Box1_E1	562670-10	Sham	Baseline
Box1_C1	562670-1	Sham	24hPost-Stroke
Box1_B7	562670-1	Sham	3hPost-Reperfusion
Box1_B6	562670-1	Sham	Baseline
Box1_G7	562670-20	Stroke	24hPost-Stroke
Box1_G6	562670-20	Stroke	3hPost-Reperfusion
Box1_G5	562670-20	Stroke	Baseline
Box1_D5	562670-3	Sham	24hPost-Stroke
Box1_D6	562670-3	Sham	3hPost-Reperfusion
Box1_D7	562670-3	Sham	Baseline
Box1_C4	562676-1	Sham	24hPost-Stroke
Box1_C3	562676-1	Sham	3hPost-Reperfusion
Box1_C2	562676-1	Sham	Baseline
Box1_C7	562676-2	Sham	24hPost-Stroke
Box1_C6	562676-2	Sham	3hPost-Reperfusion
Box1_C5	562676-2	Sham	Baseline
Box1_D3	562676-3	Sham	24hPost-Stroke
Box1_D2	562676-3	Sham	3hPost-Reperfusion
Box1_D1	562676-3	Sham	Baseline
Box1_A3	562677-10	Stroke	24hPost-Stroke
Box1_A2	562677-10	Stroke	3hPost-Reperfusion
Box1_A1	562677-10	Stroke	Baseline
Box1_B5	562677-1	Stroke	24hPost-Stroke
Box1_B3	562677-1	Stroke	Baseline
Box1_B2	562677-2	Stroke	24hPost-Stroke
Box1_B1	562677-2	Stroke	3hPost-Reperfusion
Box1_A7	562677-2	Stroke	Baseline
Box1_A6	562677-3	Stroke	24hPost-Stroke
Box1_A5	562677-3	Stroke	3hPost-Reperfusion
Box1_A4	562677-3	Stroke	Baseline
Box3_F1	584969-1	Anti-Ly6G	24hPost-Stroke
Box3_E4	584969-1	Anti-Ly6G	3hPost-Reperfusion
Box4_C6	584969-1	Anti-Ly6G	Baseline
Box4_C7	584969-2	Anti-Ly6G	Baseline
Box4_D2	584969-30	Anti-Ly6G	Baseline
Box3_E6	584969-3	Anti-Ly6G	3hPost-Reperfusion
Box4_D1	584969-3	Anti-Ly6G	Baseline
Box4_C3	584970-2	Anti-Ly6G	3hPost-Reperfusion
Box4_C5	584970-2	Anti-Ly6G	Baseline
Box3_B6	584975-1	Anti-Ly6G	Baseline
Box3_C2	584975-2	Anti-Ly6G	3hPost-Reperfusion
Box3_C3	584975-3	Anti-Ly6G	Baseline
Box3_B4	584978-2	Anti-Ly6G	Baseline
Box3_B5	584978-3	Anti-Ly6G	Baseline
Box3_B7	584975-2	Anti-Ly6G	Baseline
